date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-09-07,9502,中部電力,電気・ガス業,電力・エネルギーインフラ,ENTRY_CANDIDATE,2976.00,2837.80,3,2894.00,3023.00,0.636,2.83,1,2975.50,true,contracting,2879.53,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.8% / 反発確認OK
2026-09-07,6326,クボタ,機械,機械・設備投資,NEAR,2917.00,2776.50,4,2907.50,3087.00,0.053,0.33,2,3043.00,false,neutral,2892.96,上昇トレンド / レンジ4日 / 下限反応2回 / 下限まで+0.3% / 反発確認まだ
2026-09-07,7182,ゆうちょ銀行,銀行業,銀行・金利上昇,NEAR,3341.00,3246.16,3,3325.00,3455.00,0.123,0.48,1,3442.00,false,neutral,3308.38,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+0.5% / 反発確認まだ
2026-09-07,7203,トヨタ,輸送用機器,自動車・円安,NEAR,3096.00,3048.62,3,3081.00,3182.00,0.149,0.49,1,3142.00,false,contracting,3065.59,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+0.5% / 反発確認まだ
2026-09-07,8306,三菱UFJ,銀行業,銀行・金利上昇,NEAR,3711.00,3606.64,3,3685.00,3795.00,0.236,0.71,1,3790.00,false,neutral,3666.57,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+0.7% / 反発確認まだ
2026-09-07,6770,アルプスアルパイン,電気機器,電子部品・AI端末,NEAR,2256.50,2192.46,4,2232.50,2325.50,0.258,1.08,1,2285.00,false,neutral,2221.34,上昇トレンド / レンジ4日 / 下限反応1回 / 下限まで+1.1% / 反発確認まだ
2026-09-07,9513,J-POWER,電気・ガス業,電力・エネルギーインフラ,NEAR,4120.00,3978.52,5,4058.00,4249.00,0.325,1.53,2,4190.00,false,neutral,4037.71,上昇トレンド / レンジ5日 / 下限反応2回 / 下限まで+1.5% / 反発確認まだ
2026-09-07,6702,富士通,電気機器,AIインフラ・通信,NEAR,3831.00,3715.56,4,3773.00,3947.00,0.333,1.54,1,3947.00,false,neutral,3754.13,上昇トレンド / レンジ4日 / 下限反応1回 / 下限まで+1.5% / 反発確認まだ
2026-09-07,5703,日本軽金属HD,非鉄金属,非鉄・資源素材,NEAR,3025.00,2994.04,7,2977.00,3150.00,0.277,1.61,3,3025.00,false,neutral,2962.11,上昇トレンド / レンジ7日 / 下限反応3回 / 下限まで+1.6% / 反発確認まだ
2026-09-07,9503,関西電力,電気・ガス業,電力・エネルギーインフラ,NEAR,2965.50,2576.00,3,2908.50,3053.00,0.394,1.96,1,3030.00,false,contracting,2893.96,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.0% / 反発確認まだ
2026-09-07,8031,三井物産,卸売業,商社・資源,NEAR,5099.00,4924.20,5,4990.00,5333.00,0.318,2.18,2,5101.00,false,expanding,4965.05,上昇トレンド / レンジ5日 / 下限反応2回 / 下限まで+2.2% / 反発確認まだ
2026-09-07,8058,三菱商事,卸売業,商社・資源,NEAR,4990.00,4803.32,3,4872.00,5123.00,0.470,2.42,1,5074.00,false,expanding,4847.64,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.4% / 反発確認まだ
2026-09-07,9508,九州電力,電気・ガス業,電力・エネルギーインフラ,NEAR,2177.00,1945.16,3,2123.50,2233.50,0.486,2.52,1,2208.00,false,contracting,2112.88,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.5% / 反発確認まだ
2026-09-07,8308,りそなHD,銀行業,銀行・金利上昇,NEAR,2542.50,2414.76,4,2478.00,2601.00,0.524,2.60,2,2571.00,false,neutral,2465.61,上昇トレンド / レンジ4日 / 下限反応2回 / 下限まで+2.6% / 反発確認まだ
2026-09-07,1813,不動テトラ,建設業,建設・国土強靭化,RANGE,2866.00,2818.52,3,2790.00,2872.00,0.927,2.72,1,2847.00,true,contracting,2776.05,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.7% / 反発確認OK
2026-09-07,3778,さくらインターネット,情報・通信業,AIインフラ・通信,RANGE,3630.00,3620.20,3,3490.00,3675.00,0.757,4.01,1,3675.00,false,contracting,3472.55,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+4.0% / 反発確認まだ
2026-09-07,5838,楽天銀行,銀行業,銀行・金利上昇,RANGE,6607.00,6092.88,9,6288.00,6660.00,0.858,5.07,2,6660.00,false,neutral,6256.56,上昇トレンド / レンジ9日 / 下限反応2回 / 下限まで+5.1% / 反発確認まだ
2026-09-07,9107,川崎汽船,海運業,造船・海運,RANGE,3425.00,3152.52,9,3250.00,3458.00,0.841,5.38,1,3458.00,false,contracting,3233.75,上昇トレンド / レンジ9日 / 下限反応1回 / 下限まで+5.4% / 反発確認まだ
2026-09-07,6203,豊和工業,機械,重工・防衛,OUT,1912.00,1506.68,,,,,,,1527.00,true,unknown,,"株価 1,912円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,9101,日本郵船,海運業,造船・海運,OUT,7420.00,6686.04,,,,,,,7440.00,false,unknown,,"株価 7,420円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,9984,ソフトバンクグループ,情報・通信業,AIインフラ・通信,OUT,6217.00,5420.36,,,,,,,5611.00,true,unknown,,品質を満たすレンジがない（最良は10日 window（値幅が広すぎる（27.3% > 10.0%） / 日々の値幅が拡大中（後半/前半 1.16 > 1.15）））
2026-09-07,9504,中国電力,電気・ガス業,電力・エネルギーインフラ,OUT,1077.00,967.79,,,,,,,1062.50,true,unknown,,"株価 1,077円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7014,名村造船所,輸送用機器,造船・海運,OUT,5080.00,4517.40,,,,,,,4815.00,true,unknown,,"品質を満たすレンジがない（最良は7日 window（値幅が広すぎる（16.7% > 10.0%） / 安値が4本連続で切り下がり（4,760→4,685→4,520→4,405）））"
2026-09-07,9104,商船三井,海運業,造船・海運,OUT,7164.00,6721.32,,,,,,,7318.00,false,unknown,,"株価 7,164円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,9506,東北電力,電気・ガス業,電力・エネルギーインフラ,OUT,1386.00,1287.14,,,,,,,1381.00,true,unknown,,"株価 1,386円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5805,SWCC,非鉄金属,電線・データセンター,OUT,14090.00,13707.20,3,13430.00,14230.00,0.825,,1,13830.00,true,neutral,,"株価 14,090円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5713,住友金属鉱山,非鉄金属,非鉄・資源素材,OUT,9939.00,10101.88,3,9888.00,10465.00,0.088,,2,10465.00,false,neutral,,"株価 9,939円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5711,三菱マテリアル,非鉄金属,非鉄・資源素材,OUT,5261.00,5273.12,3,5160.00,5509.00,0.289,,1,5497.00,false,contracting,,"上昇トレンド条件を満たさない（株価 > MA25: 5,261円 <= MA25 5,273円 (-0.2%)）"
2026-09-07,6525,KOKUSAI ELECTRIC,電気機器,半導体・生成AI,OUT,8929.00,8491.92,,,,,,,8533.00,true,unknown,,"株価 8,929円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,8001,伊藤忠,卸売業,商社・資源,OUT,2264.50,2085.56,,,,,,,2262.50,true,unknown,,品質を満たすレンジがない（最良は3日 window（レンジ品質が不足（0.39 < 0.45）））
2026-09-07,8053,住友商事,卸売業,商社・資源,OUT,1871.50,1764.14,3,1796.50,1883.00,0.867,,1,1859.00,true,neutral,,"株価 1,872円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5803,フジクラ,非鉄金属,電線・データセンター,OUT,5241.00,5283.84,3,4897.00,5362.00,0.740,,1,5112.00,true,contracting,,"上昇トレンド条件を満たさない（株価 > MA25: 5,241円 <= MA25 5,284円 (-0.8%)）"
2026-09-07,8015,豊田通商,卸売業,商社・資源,OUT,7680.00,7361.64,4,7418.00,7798.00,0.689,,2,7736.00,false,neutral,,"株価 7,680円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,9509,北海道電力,電気・ガス業,電力・エネルギーインフラ,OUT,1140.50,1072.50,4,1120.50,1167.00,0.430,,1,1151.50,false,neutral,,"株価 1,140円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5801,古河電工,非鉄金属,電線・データセンター,OUT,3840.00,3894.36,,,,,,,3867.00,false,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 3,840円 <= MA25 3,894円 (-1.4%)）"
2026-09-07,5707,東邦亜鉛,非鉄金属,非鉄・資源素材,OUT,1014.00,1063.04,3,1001.00,1084.00,0.157,,2,1084.00,false,contracting,,"株価 1,014円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,4689,LINEヤフー,情報・通信業,AIインフラ・通信,OUT,521.50,512.60,,,,,,,536.00,false,unknown,,"株価 522円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,464A,QPSホールディングス,情報・通信業,宇宙・衛星,OUT,1763.00,1754.68,3,1691.00,1822.00,0.550,,1,1732.00,true,contracting,,"株価 1,763円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6857,アドバンテスト,電気機器,半導体・生成AI,OUT,34480.00,34272.00,,,,,,,33100.00,true,unknown,,"株価 34,480円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,9501,東京電力HD,電気・ガス業,電力・エネルギーインフラ,OUT,564.00,533.80,,,,,,,576.90,false,unknown,,"株価 564円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6645,オムロン,電気機器,電子部品・AI端末,OUT,6290.00,6463.52,3,6045.00,6387.00,0.716,,1,6217.00,true,neutral,,"上昇トレンド条件を満たさない（株価 > MA25: 6,290円 <= MA25 6,464円 (-2.7%)）"
2026-09-07,9432,NTT,情報・通信業,AIインフラ・通信,OUT,168.80,163.89,,,,,,,173.50,false,unknown,,"株価 169円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5714,DOWA HD,非鉄金属,非鉄・資源素材,OUT,9349.00,9548.32,3,9202.00,9640.00,0.336,,1,9640.00,false,contracting,,"株価 9,349円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6301,コマツ,機械,機械・設備投資,OUT,7576.00,7306.40,3,7386.00,7633.00,0.769,,1,7616.00,false,contracting,,"株価 7,576円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6752,パナソニックHD,電気機器,電子部品・AI端末,OUT,4421.00,4411.24,,,,,,,4219.00,true,unknown,,"品質を満たすレンジがない（最良は10日 window（値幅が広すぎる（10.1% > 10.0%） / 安値が4本連続で切り下がり（4,406→4,257→4,182→4,116）））"
2026-09-07,8411,みずほFG,銀行業,銀行・金利上昇,OUT,8710.00,8432.20,3,8580.00,8894.00,0.414,,1,8852.00,false,neutral,,"株価 8,710円 が対象レンジ 2,000円〜7,000円 の外"
