code,name,sector,asset_type,enabled
5803,フジクラ,非鉄金属,stock,true
5801,古河電工,非鉄金属,stock,true
5802,住友電工,非鉄金属,stock,true
5805,SWCC,非鉄金属,stock,true
5816,オーナンバ,非鉄金属,stock,true
8035,東京エレクトロン,電気機器,stock,true
6857,アドバンテスト,電気機器,stock,true
6146,ディスコ,機械,stock,true
6920,レーザーテック,電気機器,stock,true
7735,SCREEN HD,電気機器,stock,true
6526,ソシオネクスト,電気機器,stock,true
6525,KOKUSAI ELECTRIC,電気機器,stock,true
6723,ルネサス,電気機器,stock,true
4063,信越化学,化学,stock,true
3436,SUMCO,金属製品,stock,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,ETF,etf,true
6315,TOWA,機械,stock,true
2644,GX 半導体関連-日本株式 ETF,ETF,etf,true
9984,ソフトバンクグループ,情報・通信業,stock,true
9434,ソフトバンク,情報・通信業,stock,true
9432,NTT,情報・通信業,stock,true
6701,NEC,電気機器,stock,true
6702,富士通,電気機器,stock,true
4689,LINEヤフー,情報・通信業,stock,true
4755,楽天グループ,サービス業,stock,true
3778,さくらインターネット,情報・通信業,stock,true
7011,三菱重工,機械,stock,true
7013,IHI,機械,stock,true
7012,川崎重工,輸送用機器,stock,true
6503,三菱電機,電気機器,stock,true
6208,石川製作所,機械,stock,true
6203,豊和工業,機械,stock,true
4274,細谷火工,化学,stock,true
7721,東京計器,精密機器,stock,true
8306,三菱UFJ,銀行業,stock,true
8316,三井住友FG,銀行業,stock,true
8411,みずほFG,銀行業,stock,true
8308,りそなHD,銀行業,stock,true
8309,三井住友トラストG,銀行業,stock,true
7182,ゆうちょ銀行,銀行業,stock,true
5838,楽天銀行,銀行業,stock,true
8058,三菱商事,卸売業,stock,true
8031,三井物産,卸売業,stock,true
8001,伊藤忠,卸売業,stock,true
8002,丸紅,卸売業,stock,true
8053,住友商事,卸売業,stock,true
8015,豊田通商,卸売業,stock,true
9501,東京電力HD,電気・ガス業,stock,true
9502,中部電力,電気・ガス業,stock,true
9503,関西電力,電気・ガス業,stock,true
9504,中国電力,電気・ガス業,stock,true
9506,東北電力,電気・ガス業,stock,true
9508,九州電力,電気・ガス業,stock,true
9513,J-POWER,電気・ガス業,stock,true
9509,北海道電力,電気・ガス業,stock,true
6981,村田製作所,電気機器,stock,true
6976,太陽誘電,電気機器,stock,true
6762,TDK,電気機器,stock,true
6594,ニデック,電気機器,stock,true
6645,オムロン,電気機器,stock,true
6752,パナソニックHD,電気機器,stock,true
6770,アルプスアルパイン,電気機器,stock,true
7014,名村造船所,輸送用機器,stock,true
7003,三井E&S,機械,stock,true
7004,カナデビア,機械,stock,true
9101,日本郵船,海運業,stock,true
9104,商船三井,海運業,stock,true
9107,川崎汽船,海運業,stock,true
9348,ispace,サービス業,stock,true
464A,QPSホールディングス,情報・通信業,stock,true
5713,住友金属鉱山,非鉄金属,stock,true
5706,三井金属,非鉄金属,stock,true
5711,三菱マテリアル,非鉄金属,stock,true
5707,東邦亜鉛,非鉄金属,stock,true
5714,DOWA HD,非鉄金属,stock,true
5703,日本軽金属HD,非鉄金属,stock,true
5016,JX金属,非鉄金属,stock,true
1801,大成建設,建設業,stock,true
1802,大林組,建設業,stock,true
1812,鹿島建設,建設業,stock,true
1803,清水建設,建設業,stock,true
1813,不動テトラ,建設業,stock,true
1820,西松建設,建設業,stock,true
1860,戸田建設,建設業,stock,true
7203,トヨタ,輸送用機器,stock,true
7267,ホンダ,輸送用機器,stock,true
7201,日産自動車,輸送用機器,stock,true
7269,スズキ,輸送用機器,stock,true
7270,SUBARU,輸送用機器,stock,true
6902,デンソー,輸送用機器,stock,true
7202,いすゞ,輸送用機器,stock,true
6301,コマツ,機械,stock,true
6326,クボタ,機械,stock,true
6367,ダイキン,機械,stock,true
6361,荏原,機械,stock,true
6273,SMC,機械,stock,true
6383,ダイフク,機械,stock,true
6479,ミネベアミツミ,電気機器,stock,true
