# 注記: *_from_close はシグナル日終値が基準。日足確定後に判定する運用ではその終値で買うことは実際には不可能であり、比較用の基準にすぎない。 *_from_next_open は翌営業日始値が基準の参考値であって売買ルールではない。 本ファイルはイベントスタディの観察結果であり、収益バックテストではない。
date,code,name,sector,asset_type,themes,watch_priority,is_leader,entry_reason,range_start_date,range_end_date,range_days,range_lower,range_upper,range_width_pct,signal_close,position_in_range,last_lower_touch_date,days_from_touch_to_signal,lower_touch_count,ma25,ma_direction,ma_slope_pct,ma_deviation_pct,higher_highs,higher_lows,volume_state,volume_range_vs_pre_ratio,prev_high,breakout_pct_vs_prev_high,initial_stop,stop_distance_pct_from_close,shape,outcome,fwd5_max_gain_pct_from_close,fwd5_max_loss_pct_from_close,fwd10_max_gain_pct_from_close,fwd10_max_loss_pct_from_close,fwd5_reached_range_upper,fwd10_reached_range_upper,fwd5_broke_range_upper,fwd10_broke_range_upper,fwd5_hit_stop,fwd10_hit_stop,days_to_stop,fwd5_days_to_max_gain,fwd10_days_to_max_gain,forward_complete,forward_bars_available,next_open,gap_pct,fwd5_max_gain_pct_from_next_open,fwd5_max_loss_pct_from_next_open,fwd10_max_gain_pct_from_next_open,fwd10_max_loss_pct_from_next_open,stop_distance_pct_from_next_open,fwd5_hit_stop_from_next_open,fwd10_hit_stop_from_next_open,signal_index
2026-02-06,6315,TOWA,機械,stock,半導体・生成AI,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.8%）＋反発確認（終値 2,967円 > 前日高値 2,959円）。必ず日足を人間が確認する",2026-01-30,2026-02-06,6,2831.1684,3034.4574,7.1804,2967.0249,0.6683,2026-02-06,0,3,2804.6319,up,6.1939,5.7902,true,false,neutral,0.8840,2959.0916,0.2681,2817.0126,5.0560,B_late,stopped_out,4.4452,-10.4278,4.4452,-10.4278,true,true,false,false,true,true,1,1,1,true,123,2974.9581,0.2674,4.1667,-10.6667,4.1667,-10.6667,5.3092,true,true,119
2026-02-12,6770,アルプスアルパイン,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.5%）＋反発確認（終値 2,170円 > 前日高値 2,164円）。必ず日足を人間が確認する",2026-02-09,2026-02-12,3,2116.6562,2202.4068,4.0512,2170.3735,0.6264,2026-02-09,1,1,1994.3584,up,1.6059,8.8257,false,false,neutral,0.8640,2163.9669,0.2961,2106.0729,2.9627,A_ideal,reached_upper,4.8138,-2.5204,8.7875,-2.5204,true,true,true,true,false,false,,5,9,true,120,2140.3114,-1.3851,6.2860,-1.1513,10.3155,-1.1513,1.5997,false,false,122
2026-02-12,9107,川崎汽船,海運業,stock,造船・海運,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +1.5%）＋反発確認（終値 2,291円 > 前日高値 2,284円）。必ず日足を人間が確認する",2026-02-09,2026-02-12,3,2256.5486,2326.9893,3.1216,2291.2798,0.4931,2026-02-09,1,1,2216.4953,up,1.2885,3.3740,true,false,contracting,0.7664,2284.4316,0.2998,2245.2659,2.0082,A_ideal,stopped_out,1.8360,-2.6046,7.7284,-2.6046,true,true,true,true,true,true,3,5,9,true,120,2267.3105,-1.0461,2.9126,-1.5750,8.8673,-1.5750,0.9723,true,true,122
2026-02-16,6770,アルプスアルパイン,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.2%）＋反発確認（終値 2,163円 > 前日高値 2,163円）。必ず日足を人間が確認する",2026-02-09,2026-02-16,5,2115.6705,2202.4068,4.0997,2162.9812,0.5455,2026-02-13,0,2,2012.0013,up,1.9691,7.5040,true,false,contracting,0.6262,2162.9811,0.0000,2105.0921,2.6764,A_ideal,stopped_out,7.7466,-1.4126,9.1593,-2.7569,true,true,true,true,false,true,10,5,7,true,118,2158.5458,-0.2051,7.9680,-1.2100,9.3836,-2.5571,2.4764,false,true,124
2026-02-17,1820,西松建設,建設業,stock,建設・国土強靭化,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.7%）＋反発確認（終値 6,398円 > 前日高値 6,374円）。必ず日足を人間が確認する",2026-02-13,2026-02-17,3,6166.7730,6513.0671,5.6155,6397.6357,0.6667,2026-02-16,1,1,5907.0719,up,2.2120,8.3047,true,false,neutral,0.9757,6374.1581,0.3683,6135.9391,4.0905,B_late,stopped_out,3.8685,-0.1529,5.3670,-5.7645,true,true,true,true,false,true,10,5,7,true,117,6392.7445,-0.0765,3.9480,-0.0765,5.4476,-5.6924,4.0171,false,true,125
2026-02-18,1812,鹿島建設,建設業,stock,建設・国土強靭化,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.2%）＋反発確認（終値 6,847円 > 前日高値 6,832円）。必ず日足を人間が確認する",2026-02-16,2026-02-18,3,6633.3008,7080.5781,6.7429,6847.0879,0.4780,2026-02-17,1,1,6630.0301,up,2.8192,3.2739,true,false,contracting,0.5261,6832.3097,0.2163,6600.1343,3.6067,A_ideal,stopped_out,2.7050,-2.0719,2.9640,-9.6978,false,false,false,false,false,true,9,2,6,true,116,6847.0879,-0.0000,2.7050,-2.0719,2.9640,-9.6978,3.6067,false,true,126
2026-02-18,2644,GX 半導体関連-日本株式 ETF,ETF,etf,半導体・生成AI,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.1%）＋反発確認（終値 3,291円 > 前日高値 3,282円）。必ず日足を人間が確認する",2026-02-12,2026-02-18,5,3222.3269,3354.8879,4.1138,3291.0991,0.5188,2026-02-17,1,1,3133.8201,up,3.3732,5.0188,true,true,contracting,0.6258,3282.1288,0.2733,3206.2153,2.5792,A_ideal,stopped_out,8.3889,-0.0909,8.3889,-6.6626,true,true,true,true,false,true,9,5,5,true,116,3349.9044,1.7868,6.4862,-1.8447,6.4862,-8.3011,4.2893,false,true,125
2026-02-18,7203,トヨタ,輸送用機器,stock,自動車・円安,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.0%）＋反発確認（終値 3,675円 > 前日高値 3,669円）。必ず日足を人間が確認する",2026-02-16,2026-02-18,3,3602.3613,3713.7034,3.0908,3675.2756,0.6549,2026-02-16,1,1,3568.3084,up,1.6859,2.9977,false,true,contracting,0.5407,3669.3638,0.1611,3584.3495,2.4740,B_late,stopped_out,2.4397,-3.3512,6.0858,-6.6756,true,true,true,true,true,true,2,5,7,true,116,3675.2757,0.0000,2.4397,-3.3512,6.0858,-6.6756,2.4740,true,true,126
2026-02-18,8015,豊田通商,卸売業,stock,商社・資源,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.4%）＋反発確認（終値 6,696円 > 前日高値 6,654円）。必ず日足を人間が確認する",2026-02-16,2026-02-18,3,6415.1058,6910.0983,7.7160,6696.2617,0.5680,2026-02-17,1,1,6020.1808,up,3.9764,11.2302,true,false,contracting,0.5909,6653.6923,0.6398,6383.0303,4.6777,A_ideal,stopped_out,7.0964,-1.2271,7.0964,-6.8451,true,true,true,true,false,true,9,5,5,true,116,6739.8212,0.6505,6.4042,-1.8655,6.4042,-7.4471,5.2938,false,true,126
2026-02-18,8306,三菱UFJ,銀行業,stock,銀行・金利上昇,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.6%）＋反発確認（終値 2,896円 > 前日高値 2,891円）。必ず日足を人間が確認する",2026-02-16,2026-02-18,3,2822.4663,2944.6278,4.3282,2896.0574,0.6024,2026-02-17,1,1,2836.2230,up,2.1992,2.1097,true,true,contracting,0.6799,2890.6608,0.1867,2808.3540,3.0284,A_ideal,stopped_out,1.9482,-4.8280,1.9482,-11.9600,true,true,true,true,true,true,4,1,1,true,116,2905.3790,0.3219,1.6211,-5.1334,1.6211,-12.2425,3.3395,true,true,126
