# 注記: *_from_close はシグナル日終値が基準。日足確定後に判定する運用ではその終値で買うことは実際には不可能であり、比較用の基準にすぎない。 *_from_next_open は翌営業日始値が基準の参考値であって売買ルールではない。 本ファイルはイベントスタディの観察結果であり、収益バックテストではない。
date,code,name,sector,asset_type,themes,watch_priority,is_leader,entry_reason,range_start_date,range_end_date,range_days,range_lower,range_upper,range_width_pct,signal_close,position_in_range,last_lower_touch_date,days_from_touch_to_signal,lower_touch_count,ma25,ma_direction,ma_slope_pct,ma_deviation_pct,higher_highs,higher_lows,volume_state,volume_range_vs_pre_ratio,prev_high,breakout_pct_vs_prev_high,initial_stop,stop_distance_pct_from_close,shape,outcome,fwd5_max_gain_pct_from_close,fwd5_max_loss_pct_from_close,fwd10_max_gain_pct_from_close,fwd10_max_loss_pct_from_close,fwd5_reached_range_upper,fwd10_reached_range_upper,fwd5_broke_range_upper,fwd10_broke_range_upper,fwd5_hit_stop,fwd10_hit_stop,days_to_stop,fwd5_days_to_max_gain,fwd10_days_to_max_gain,forward_complete,forward_bars_available,next_open,gap_pct,fwd5_max_gain_pct_from_next_open,fwd5_max_loss_pct_from_next_open,fwd10_max_gain_pct_from_next_open,fwd10_max_loss_pct_from_next_open,stop_distance_pct_from_next_open,fwd5_hit_stop_from_next_open,fwd10_hit_stop_from_next_open,signal_index
2026-02-04,6383,ダイフク,機械,stock,機械・設備投資,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +5.9%）＋反発確認（終値 5,712円 > 前日高値 5,653円）。必ず日足を人間が確認する",2026-02-02,2026-02-04,3,5393.7109,5738.7735,6.3975,5711.9243,0.9222,2026-02-02,2,1,5323.5053,up,2.6628,7.2963,false,false,contracting,0.7778,5653.2534,1.0378,5366.7423,6.0432,D_upper_zone,reached_upper,5.5188,-1.7235,12.5522,-1.7235,true,true,true,true,false,false,,3,10,true,125,5716.8960,0.0870,5.4270,-1.8090,12.4543,-1.8090,6.1249,false,false,117
2026-02-04,6752,パナソニックHD,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +6.1%）＋反発確認（終値 2,178円 > 前日高値 2,151円）。必ず日足を人間が確認する",2026-02-02,2026-02-04,3,2051.5023,2185.9863,6.5554,2177.5500,0.9373,2026-02-02,2,1,2138.2073,up,0.9503,1.8400,true,true,neutral,0.9292,2151.2488,1.2226,2041.2448,6.2596,D_upper_zone,reached_upper,18.1404,6.4266,18.1404,6.1987,true,true,true,true,false,false,,5,5,true,125,2475.3008,13.6737,3.9294,-6.3753,3.9294,-6.5758,17.5355,false,false,117
2026-02-04,7003,三井E&S,機械,stock,造船・海運,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +6.9%）＋反発確認（終値 6,878円 > 前日高値 6,806円）。必ず日足を人間が確認する",2026-01-30,2026-02-04,4,6433.8176,6980.0664,8.4903,6877.7690,0.8127,2026-02-02,2,1,6417.0924,up,4.0284,7.1789,false,true,contracting,0.7732,6806.2600,1.0506,6401.6485,6.9226,C_near_upper,reached_upper,10.4693,-6.5271,15.1480,-6.5271,true,true,true,true,false,false,,5,10,true,125,6854.9255,-0.3321,10.8374,-6.2156,15.5317,-6.2156,6.6124,false,false,117
2026-02-04,7182,ゆうちょ銀行,銀行業,stock,銀行・金利上昇,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +7.2%）＋反発確認（終値 2,760円 > 前日高値 2,740円）。必ず日足を人間が確認する",2026-02-02,2026-02-04,3,2574.2336,2779.8030,7.9857,2760.3638,0.9054,2026-02-02,2,1,2407.3676,up,5.4199,14.6632,true,true,neutral,0.8789,2739.9525,0.7449,2561.3624,7.2092,D_upper_zone,reached_upper,11.5845,0.6338,11.5845,0.6338,true,true,true,true,false,false,,5,5,true,125,2780.2889,0.7218,10.7848,-0.0874,10.7848,-0.0874,7.8742,false,false,117
2026-02-04,8001,伊藤忠,卸売業,stock,商社・資源,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.6%）＋反発確認（終値 2,025円 > 前日高値 2,015円）。必ず日足を人間が確認する",2026-02-02,2026-02-04,3,1953.9334,2043.9626,4.6076,2025.1653,0.7912,2026-02-02,2,1,1999.1657,up,1.0837,1.3005,true,false,neutral,0.9072,2015.2719,0.4909,1944.1637,3.9998,B_late,reached_upper,9.0865,-2.2472,10.8451,-2.2472,true,true,true,true,false,false,,5,10,true,125,2061.7707,1.8075,7.1497,-3.9827,8.8772,-3.9827,5.7042,false,false,117
2026-02-04,9104,商船三井,海運業,stock,造船・海運,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.1%）＋反発確認（終値 5,016円 > 前日高値 4,928円）。必ず日足を人間が確認する",2026-02-02,2026-02-04,3,4819.7523,5016.4771,4.0816,5016.4771,1.0000,2026-02-02,2,1,4737.1280,up,1.6832,5.8970,false,false,neutral,0.9260,4927.9510,1.7964,4795.6535,4.4020,D_upper_zone,reached_upper,2.1765,-2.7255,6.6274,-2.7255,true,true,true,true,false,false,,5,10,true,125,5047.9529,0.6275,1.5394,-3.3320,5.9626,-3.3320,4.9981,false,false,117
2026-02-05,1820,西松建設,建設業,stock,建設・国土強靭化,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.3%）＋反発確認（終値 5,857円 > 前日高値 5,848円）。必ず日足を人間が確認する",2026-02-03,2026-02-05,3,5668.8528,5875.2597,3.6411,5856.6733,0.9100,2026-02-03,2,1,5741.2812,up,0.5606,2.0099,true,false,neutral,0.9922,5847.8694,0.1505,5640.5086,3.6909,D_upper_zone,reached_upper,11.2410,0.4510,11.5918,0.4510,true,true,true,true,false,false,,4,9,true,124,5888.9549,0.5512,10.6312,-0.0997,10.9801,-0.0997,4.2189,false,false,118
2026-02-05,6770,アルプスアルパイン,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +8.5%）＋反発確認（終値 2,081円 > 前日高値 2,065円）。必ず日足を人間が確認する",2026-02-03,2026-02-05,3,1917.0647,2104.8285,9.7943,2080.6804,0.8714,2026-02-03,2,1,1968.4558,up,0.5660,5.7011,false,false,neutral,0.9525,2064.9104,0.7637,1907.4793,8.3243,C_near_upper,reached_upper,5.8503,-1.7290,10.8006,-1.7290,true,true,true,true,false,false,,4,10,true,124,2053.0827,-1.3264,7.2732,-0.4081,12.2900,-0.4081,7.0919,false,false,118
2026-02-05,8316,三井住友FG,銀行業,stock,銀行・金利上昇,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.4%）＋反発確認（終値 5,568円 > 前日高値 5,563円）。必ず日足を人間が確認する",2026-02-03,2026-02-05,3,5335.4246,5611.2080,5.1689,5567.8706,0.8429,2026-02-03,2,1,5330.2637,up,1.5843,4.4577,false,false,neutral,1.0308,5562.9462,0.0885,5308.7474,4.6539,C_near_upper,reached_upper,11.1622,-2.0166,11.1622,-2.0166,true,true,true,true,false,false,,4,4,true,124,5499.9098,-1.2206,12.5358,-0.8059,12.5358,-0.8059,3.4757,false,false,118
2026-02-05,9513,J-POWER,電気・ガス業,stock,電力・エネルギーインフラ,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.6%）＋反発確認（終値 3,290円 > 前日高値 3,244円）。必ず日足を人間が確認する",2026-02-02,2026-02-05,4,3147.1466,3315.1260,5.3375,3290.4231,0.8529,2026-02-03,2,1,3246.5509,up,0.8756,1.3513,false,false,neutral,1.2882,3243.9817,1.4316,3131.4109,4.8326,C_near_upper,reached_upper,8.7087,0.7808,10.3904,0.7808,true,true,true,true,false,false,,5,8,true,124,3320.0666,0.9009,7.7381,-0.1190,9.4048,-0.1190,5.6823,false,false,118
