# CASE 別の仮想 EXIT 比較（§15）。最も成績のよい CASE を採用する、という使い方はしない。gave_back_most は「+10%以上まで上昇し、最終リターンが最大含み益の半分未満」という集計上の定義。
code,name,signal_date,path_label,case,case_label,exit_type,exit_date,exit_day_offset,exit_reference_price,gap_through,approximate_return_pct,holding_days,still_open,order_ambiguous,max_gain_pct,max_gain_date,max_loss_pct,giveback_pct,rose5_then_lost,gave_back_most
6770,アルプスアルパイン,2026-02-12,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-03,11,2106.0729,false,-1.5997,12,false,false,10.3155,2026-02-26,-1.7269,11.9152,true,true
6770,アルプスアルパイン,2026-02-12,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-26,8,2309.8412,false,7.9208,9,false,true,10.3155,2026-02-26,-1.1513,2.3947,false,false
6770,アルプスアルパイン,2026-02-12,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-02-27,9,2286.6788,true,6.8386,10,false,false,10.3155,2026-02-26,-1.1513,3.4769,false,false
9107,川崎汽船,2026-02-12,P0_NO_BREAKOUT,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-02-17,2,2245.2659,false,-0.9723,3,false,false,1.0356,2026-02-16,-1.5750,2.0079,false,false
9107,川崎汽船,2026-02-12,P0_NO_BREAKOUT,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,INITIAL_STOP_EXIT,2026-02-17,2,2245.2659,false,-0.9723,3,false,false,1.0356,2026-02-16,-1.5750,2.0079,false,false
9107,川崎汽船,2026-02-12,P0_NO_BREAKOUT,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT,2026-02-17,2,2245.2659,false,-0.9723,3,false,false,1.0356,2026-02-16,-1.5750,2.0079,false,false
6770,アルプスアルパイン,2026-02-16,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-03,9,2105.0921,false,-2.4764,10,false,false,9.3836,2026-02-26,-2.5571,11.8599,true,false
6770,アルプスアルパイン,2026-02-16,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-26,6,2309.8412,false,7.0091,7,false,true,9.3836,2026-02-26,-1.2100,2.3744,false,false
6770,アルプスアルパイン,2026-02-16,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-02-27,7,2286.6788,true,5.9361,8,false,false,9.3836,2026-02-26,-1.2100,3.4475,false,false
1812,鹿島建設,2026-02-18,P0_NO_BREAKOUT,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,8,6455.9665,true,-5.7122,9,false,false,2.9640,2026-02-27,-9.6978,8.6763,false,false
1812,鹿島建設,2026-02-18,P0_NO_BREAKOUT,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,INITIAL_STOP_EXIT,2026-03-04,8,6455.9665,true,-5.7122,9,false,false,2.9640,2026-02-27,-9.6978,8.6763,false,false
1812,鹿島建設,2026-02-18,P0_NO_BREAKOUT,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT,2026-03-04,8,6455.9665,true,-5.7122,9,false,false,2.9640,2026-02-27,-9.6978,8.6763,false,false
2644,GX 半導体関連-日本株式 ETF,2026-02-18,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,8,3200.3997,true,-4.4630,9,false,false,6.4862,2026-02-26,-8.3011,10.9491,true,false
2644,GX 半導体関連-日本株式 ETF,2026-02-18,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-27,5,3418.6766,true,2.0530,6,false,false,6.4862,2026-02-26,-1.8447,4.4332,false,false
2644,GX 半導体関連-日本株式 ETF,2026-02-18,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-04,8,3200.3997,true,-4.4630,9,false,false,6.4862,2026-02-26,-8.3011,10.9491,true,false
8015,豊田通商,2026-02-18,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,8,6367.5865,true,-5.5229,9,false,false,6.4042,2026-02-26,-7.4471,11.9271,true,false
8015,豊田通商,2026-02-18,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-27,5,6930.8883,false,2.8349,6,false,false,6.4042,2026-02-26,-1.8655,3.5693,false,false
8015,豊田通商,2026-02-18,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-04,8,6367.5865,true,-5.5229,9,false,false,6.4042,2026-02-26,-7.4471,11.9271,true,false
8306,三菱UFJ,2026-02-18,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-02-25,3,2808.3540,false,-3.3395,4,false,false,1.6211,2026-02-19,-5.1334,4.9606,false,false
8306,三菱UFJ,2026-02-18,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-24,2,2852.8839,true,-1.8068,3,false,false,1.6211,2026-02-19,-2.7018,3.4279,false,false
8306,三菱UFJ,2026-02-18,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-02-25,3,2808.3540,false,-3.3395,4,false,false,1.6211,2026-02-19,-5.1334,4.9606,false,false
8316,三井住友FG,2026-02-18,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-02-25,3,5601.7723,false,-4.8608,4,false,false,2.5259,2026-02-19,-5.6039,7.3868,false,false
8316,三井住友FG,2026-02-18,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-24,2,5791.4524,true,-1.6393,3,false,false,2.5259,2026-02-19,-3.2118,4.1653,false,false
8316,三井住友FG,2026-02-18,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-02-25,3,5601.7723,false,-4.8608,4,false,false,2.5259,2026-02-19,-5.6039,7.3868,false,false
1802,大林組,2026-02-19,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-09,10,3738.3980,true,-8.4664,11,false,false,7.3778,2026-02-27,-9.9419,15.8442,true,false
1802,大林組,2026-02-19,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-03-04,7,4050.5896,true,-0.8225,8,false,false,7.3778,2026-02-27,-4.7170,8.2003,true,false
