# 各営業日の状態と、その日の寄り時点で有効だった active_stop（§11）。 引き上げた STOP を当日の安値へ遡って適用していないことがここで確認できる。
code,signal_date,day_offset,date,state,open,high,low,close,volume,active_stop,holding_high,reference_high,warning_low,unrealized_pct
6770,2026-02-12,0,2026-02-13,INITIAL_HOLD,2140.3114,2162.9811,2115.6705,2133.9048,1691900,2106.0729,2140.3114,,,-0.2993
6770,2026-02-12,1,2026-02-16,INITIAL_HOLD,2146.7182,2170.3735,2128.9767,2162.9812,776400,2106.0729,2162.9811,,,1.0592
6770,2026-02-12,2,2026-02-17,INITIAL_HOLD,2158.5458,2165.4453,2132.4264,2157.0674,574200,2106.0729,2170.3735,,,0.7829
6770,2026-02-12,3,2026-02-18,INITIAL_HOLD,2148.6895,2196.4929,2133.9049,2196.4929,1107900,2106.0729,2170.3735,,,2.6249
6770,2026-02-12,4,2026-02-19,INITIAL_HOLD,2208.3206,2274.8511,2200.4355,2257.1096,1099600,2106.0729,2196.4929,,,5.4571
6770,2026-02-12,5,2026-02-20,TREND_HOLD,2242.3250,2305.4057,2239.3680,2297.0278,1778200,2106.0729,2274.8511,,,7.3221
6770,2026-02-12,6,2026-02-24,TREND_HOLD,2300.9703,2330.5394,2293.5780,2321.6687,1193000,2106.0729,2305.4057,,,8.4734
6770,2026-02-12,7,2026-02-25,TREND_HOLD,2343.3528,2353.7020,2309.8412,2336.4534,1231100,2106.0729,2330.5394,,,9.1642
6770,2026-02-12,8,2026-02-26,WARNING,2353.7019,2361.0942,2300.4775,2306.3914,942200,2106.0729,2353.7020,2353.7020,2309.8412,7.7596
6770,2026-02-12,9,2026-02-27,TREND_HOLD,2286.6788,2317.2335,2283.2291,2310.8269,1360300,2288.9751,2361.0942,,,7.9669
6770,2026-02-12,10,2026-03-02,CLOSED,2265.4875,2276.3295,2231.4830,2242.8179,1239700,2288.9751,2361.0942,,,4.7893
6770,2026-02-12,11,2026-03-03,CLOSED,2216.2056,2219.1625,2103.3502,2110.7424,1443000,2288.9751,2361.0942,,,-1.3815
9107,2026-02-12,0,2026-02-13,INITIAL_HOLD,2267.3105,2279.0506,2254.1028,2268.2888,4725300,2245.2659,2267.3105,,,0.0431
9107,2026-02-12,1,2026-02-16,INITIAL_HOLD,2270.7347,2290.7908,2256.0596,2256.0596,3576700,2245.2659,2279.0506,,,-0.4962
9107,2026-02-12,2,2026-02-17,INITIAL_HOLD,2266.3320,2274.6479,2231.6008,2241.3843,4001500,2245.2659,2290.7908,,,-1.1435
6770,2026-02-16,0,2026-02-17,INITIAL_HOLD,2158.5458,2165.4453,2132.4264,2157.0674,574200,2105.0921,2158.5458,,,-0.0685
6770,2026-02-16,1,2026-02-18,INITIAL_HOLD,2148.6895,2196.4929,2133.9049,2196.4929,1107900,2105.0921,2165.4453,,,1.7580
6770,2026-02-16,2,2026-02-19,INITIAL_HOLD,2208.3206,2274.8511,2200.4355,2257.1096,1099600,2105.0921,2196.4929,,,4.5662
6770,2026-02-16,3,2026-02-20,TREND_HOLD,2242.3250,2305.4057,2239.3680,2297.0278,1778200,2105.0921,2274.8511,,,6.4155
6770,2026-02-16,4,2026-02-24,TREND_HOLD,2300.9703,2330.5394,2293.5780,2321.6687,1193000,2105.0921,2305.4057,,,7.5571
6770,2026-02-16,5,2026-02-25,TREND_HOLD,2343.3528,2353.7020,2309.8412,2336.4534,1231100,2105.0921,2330.5394,,,8.2420
6770,2026-02-16,6,2026-02-26,WARNING,2353.7019,2361.0942,2300.4775,2306.3914,942200,2105.0921,2353.7020,2353.7020,2309.8412,6.8493
6770,2026-02-16,7,2026-02-27,TREND_HOLD,2286.6788,2317.2335,2283.2291,2310.8269,1360300,2288.9751,2361.0942,,,7.0548
6770,2026-02-16,8,2026-03-02,CLOSED,2265.4875,2276.3295,2231.4830,2242.8179,1239700,2288.9751,2361.0942,,,3.9041
6770,2026-02-16,9,2026-03-03,CLOSED,2216.2056,2219.1625,2103.3502,2110.7424,1443000,2288.9751,2361.0942,,,-2.2146
1812,2026-02-18,0,2026-02-19,INITIAL_HOLD,6847.0879,6975.1629,6778.1244,6943.6367,1909400,6600.1343,6847.0879,,,1.4101
1812,2026-02-18,1,2026-02-20,INITIAL_HOLD,6943.6367,7032.3041,6882.5548,6980.0889,2069300,6600.1343,6975.1629,,,1.9424
1812,2026-02-18,2,2026-02-24,INITIAL_HOLD,6925.9031,6933.7846,6705.2200,6860.8804,3657600,6600.1343,7032.3041,,,0.2014
1812,2026-02-18,3,2026-02-25,INITIAL_HOLD,6895.3624,6909.1550,6740.6871,6795.8579,2378400,6600.1343,7032.3041,,,-0.7482
1812,2026-02-18,4,2026-02-26,INITIAL_HOLD,6765.3169,6842.1619,6719.9980,6765.3169,2640200,6600.1343,7032.3041,,,-1.1942
1812,2026-02-18,5,2026-02-27,INITIAL_HOLD,6802.7540,7050.0373,6778.1242,7036.2446,3255500,6600.1343,7032.3041,,,2.7626
1812,2026-02-18,6,2026-03-02,INITIAL_HOLD,6765.3168,6910.1401,6662.8568,6910.1401,2132400,6600.1343,7050.0373,,,0.9209
1812,2026-02-18,7,2026-03-03,INITIAL_HOLD,6888.4660,6934.7700,6680.5903,6719.9980,1953300,6600.1343,7050.0373,,,-1.8561
1812,2026-02-18,8,2026-03-04,INITIAL_HOLD,6455.9665,6598.8194,6183.0682,6366.3140,3247500,6600.1343,7050.0373,,,-7.0216
2644,2026-02-18,0,2026-02-19,INITIAL_HOLD,3349.9044,3385.7855,3336.9473,3342.9275,1775153,3206.2153,3349.9044,,,-0.2083
2644,2026-02-18,1,2026-02-20,INITIAL_HOLD,3296.0826,3330.9671,3288.1091,3320.0034,995971,3206.2153,3385.7855,,,-0.8926
2644,2026-02-18,2,2026-02-24,INITIAL_HOLD,3322.9937,3377.8121,3322.9937,3368.8418,1052251,3206.2153,3385.7855,,,0.5653
2644,2026-02-18,3,2026-02-25,TREND_HOLD,3437.6139,3519.3432,3428.6436,3507.3828,1587451,3206.2153,3385.7855,,,4.7010
2644,2026-02-18,4,2026-02-26,TREND_HOLD,3562.2013,3567.1847,3419.6733,3509.3762,1609731,3206.2153,3519.3432,,,4.7605
2644,2026-02-18,5,2026-02-27,WARNING,3418.6766,3461.5346,3381.7987,3455.5544,1683957,3206.2153,3567.1847,3567.1847,3419.6733,3.1538
2644,2026-02-18,6,2026-03-02,WARNING,3358.8748,3427.6470,3346.9144,3404.7229,1673123,3206.2153,3567.1847,3567.1847,3419.6733,1.6364
