# トレーリング候補の参考シミュレーション。§30 の「新しい押し安値」は機械定義が未確定のため、既存の swing 検出（fractal, pivot_window=2）で確定した押し安値を暫定的に使っている。 本番の売買ルールには反映していない。
code,name,signal_date,initial_stop,variant,swing_low_date,swing_low_price,swing_low_confirmed_date,armed_date,armed_day_offset,trail_stop_candidate,improves_on_initial_stop,before_initial_stop_hit
1812,鹿島建設,2026-02-18,6600.1343,loose,2026-02-24,6705.2200,2026-02-26,2026-02-26,4,6671.6939,true,true
1812,鹿島建設,2026-02-18,6600.1343,strict,2026-02-24,6705.2200,2026-02-26,2026-02-27,5,6671.6939,true,true
6594,ニデック,2026-02-19,2279.5450,loose,2026-02-24,2292.0000,2026-02-26,2026-02-26,3,2280.5400,true,true
8058,三菱商事,2026-02-19,4794.4691,loose,2026-03-04,4876.9990,2026-03-06,2026-03-06,9,4852.6140,true,true
9104,商船三井,2026-03-09,5648.1052,loose,2026-03-16,5909.6063,2026-03-18,2026-03-18,6,5880.0583,true,true
9104,商船三井,2026-03-09,5648.1052,loose,2026-03-24,6210.5951,2026-03-26,2026-03-26,11,6179.5422,true,true
9104,商船三井,2026-03-09,5648.1052,loose,2026-04-01,6200.0000,2026-04-03,2026-04-03,17,6169.0000,true,true
9104,商船三井,2026-03-09,5648.1052,loose,2026-04-15,6231.0000,2026-04-17,2026-04-17,27,6199.8450,true,true
9104,商船三井,2026-03-09,5648.1052,loose,2026-04-27,5761.0000,2026-04-30,2026-04-30,35,5732.1950,true,true
9104,商船三井,2026-03-25,6179.5422,loose,2026-04-01,6200.0000,2026-04-03,2026-04-03,6,6169.0000,false,true
9104,商船三井,2026-03-25,6179.5422,strict,2026-04-01,6200.0000,2026-04-03,2026-04-06,7,6169.0000,false,true
9104,商船三井,2026-03-25,6179.5422,loose,2026-04-15,6231.0000,2026-04-17,2026-04-17,16,6199.8450,true,true
6361,荏原,2026-04-20,4882.4106,loose,2026-05-01,5214.3135,2026-05-08,2026-05-08,9,5188.2419,true,true
6361,荏原,2026-04-20,4882.4106,loose,2026-05-11,5594.2959,2026-05-13,2026-05-13,12,5566.3245,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-05-28,5326.0000,2026-06-01,2026-06-01,5,5299.3700,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-06-11,5294.0000,2026-06-15,2026-06-15,15,5267.5300,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-06-17,5370.0000,2026-06-19,2026-06-19,19,5343.1500,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-06-29,5474.0000,2026-07-01,2026-07-01,27,5446.6300,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-07-03,5761.0000,2026-07-07,2026-07-07,31,5732.1950,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-07-08,5588.0000,2026-07-10,2026-07-10,34,5560.0600,true,true
6645,オムロン,2026-05-22,5236.6850,loose,2026-07-14,5462.0000,2026-07-16,2026-07-16,38,5434.6900,true,true
7182,ゆうちょ銀行,2026-06-09,3033.7550,loose,2026-06-11,3060.0000,2026-06-15,2026-06-15,3,3044.7000,true,true
7182,ゆうちょ銀行,2026-06-09,3033.7550,loose,2026-06-16,3110.0000,2026-06-18,2026-06-18,6,3094.4500,true,true
8306,三菱UFJ,2026-06-12,3064.6000,loose,2026-06-24,3201.0000,2026-06-26,2026-06-26,9,3184.9950,true,true
8306,三菱UFJ,2026-06-12,3064.6000,loose,2026-06-29,3180.0000,2026-07-01,2026-07-01,12,3164.1000,true,true
8306,三菱UFJ,2026-06-12,3064.6000,strict,2026-06-29,3180.0000,2026-07-01,2026-07-07,16,3164.1000,true,true
8306,三菱UFJ,2026-06-12,3064.6000,loose,2026-07-09,3381.0000,2026-07-13,2026-07-13,20,3364.0950,true,true
8306,三菱UFJ,2026-06-12,3064.6000,loose,2026-07-17,3411.0000,2026-07-22,2026-07-22,26,3393.9450,true,true
8306,三菱UFJ,2026-06-12,3064.6000,strict,2026-07-17,3411.0000,2026-07-22,2026-07-23,27,3393.9450,true,true
8306,三菱UFJ,2026-06-12,3064.6000,loose,2026-08-03,3426.0000,2026-08-05,2026-08-05,36,3408.8700,true,true
8308,りそなHD,2026-06-12,2079.0525,loose,2026-06-16,2108.5000,2026-06-18,2026-06-18,3,2097.9575,true,true
