# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
6770,アルプスアルパイン,2026-02-12,2026-02-13,0,true,2140.3114,2162.9811,2115.6705,2133.9048,1691900,2026-03-03,11,11,true,true,-1.6803,0.2993,0.1064,1.1065,0.3854,true
6770,アルプスアルパイン,2026-02-12,2026-02-17,2,false,2158.5458,2165.4453,2132.4264,2157.0674,574200,2026-03-03,11,9,true,true,-0.2734,0.0685,0.0247,0.3927,0.7463,true
6770,アルプスアルパイン,2026-02-12,2026-02-25,7,false,2343.3528,2353.7020,2309.8412,2336.4534,1231100,2026-02-26,8,1,false,false,0.6368,0.2944,0.1185,0.8286,0.6067,true
6770,アルプスアルパイン,2026-02-12,2026-02-26,8,false,2353.7019,2361.0942,2300.4775,2306.3914,942200,2026-02-27,9,1,false,false,-1.2867,2.0101,0.8485,0.6358,0.0976,true
6770,アルプスアルパイン,2026-02-12,2026-03-02,10,false,2265.4875,2276.3295,2231.4830,2242.8179,1239700,2026-03-03,11,1,false,false,-2.9431,1.0007,0.3968,0.8332,0.2527,true
6770,アルプスアルパイン,2026-02-12,2026-03-03,11,false,2216.2056,2219.1625,2103.3502,2110.7424,1443000,,,,false,false,-5.8888,4.7587,1.7844,0.9560,0.0638,true
9107,川崎汽船,2026-02-12,2026-02-16,1,true,2270.7347,2290.7908,2256.0596,2256.0596,3576700,2026-02-17,2,1,false,false,-0.5391,0.6463,0.3072,0.6364,0.0000,true
9107,川崎汽船,2026-02-12,2026-02-17,2,false,2266.3320,2274.6479,2231.6008,2241.3843,4001500,,,,false,false,-0.6505,1.1008,0.5246,0.7159,0.2273,true
6770,アルプスアルパイン,2026-02-16,2026-02-17,0,true,2158.5458,2165.4453,2132.4264,2157.0674,574200,2026-03-03,9,9,true,true,-0.2734,0.0685,0.0247,0.3927,0.7463,true
6770,アルプスアルパイン,2026-02-16,2026-02-25,5,false,2343.3528,2353.7020,2309.8412,2336.4534,1231100,2026-02-26,6,1,false,false,0.6368,0.2944,0.1185,0.8286,0.6067,true
6770,アルプスアルパイン,2026-02-16,2026-02-26,6,false,2353.7019,2361.0942,2300.4775,2306.3914,942200,2026-02-27,7,1,false,false,-1.2867,2.0101,0.8485,0.6358,0.0976,true
6770,アルプスアルパイン,2026-02-16,2026-03-02,8,false,2265.4875,2276.3295,2231.4830,2242.8179,1239700,2026-03-03,9,1,false,false,-2.9431,1.0007,0.3968,0.8332,0.2527,true
6770,アルプスアルパイン,2026-02-16,2026-03-03,9,false,2216.2056,2219.1625,2103.3502,2110.7424,1443000,,,,false,false,-5.8888,4.7587,1.7844,0.9560,0.0638,true
1812,鹿島建設,2026-02-18,2026-02-24,2,true,6925.9031,6933.7846,6705.2200,6860.8804,3657600,2026-03-02,6,4,true,true,-1.7078,0.9388,0.2178,1.5189,0.6810,true
1812,鹿島建設,2026-02-18,2026-02-25,3,false,6895.3624,6909.1550,6740.6871,6795.8579,2378400,2026-02-26,4,1,false,false,-0.9477,1.4431,0.3422,0.9730,0.3275,true
1812,鹿島建設,2026-02-18,2026-03-03,7,false,6888.4660,6934.7700,6680.5903,6719.9980,1953300,2026-03-04,8,1,false,false,-2.7516,2.4457,0.6035,0.7620,0.1550,true
1812,鹿島建設,2026-02-18,2026-03-04,8,false,6455.9665,6598.8194,6183.0682,6366.3140,3247500,,,,false,false,-5.2632,1.3887,0.3018,1.2359,0.4408,true
2644,GX 半導体関連-日本株式 ETF,2026-02-18,2026-02-19,0,true,3349.9044,3385.7855,3336.9473,3342.9275,1775153,2026-02-20,1,1,false,false,1.5748,0.2083,0.0692,1.2048,0.1224,true
2644,GX 半導体関連-日本株式 ETF,2026-02-18,2026-02-26,4,false,3562.2013,3567.1847,3419.6733,3509.3762,1609731,2026-02-27,5,1,false,false,0.0568,1.4829,0.5579,1.0574,0.6081,true
2644,GX 半導体関連-日本株式 ETF,2026-02-18,2026-03-03,7,false,3404.7229,3435.6206,3298.0762,3339.9375,1972143,2026-03-04,8,1,false,false,-1.9028,1.9028,0.7143,1.2874,0.3043,true
2644,GX 半導体関連-日本株式 ETF,2026-02-18,2026-03-04,8,false,3200.3997,3289.1059,3071.8256,3124.6506,3137624,,,,false,false,-6.4458,2.3669,0.7122,1.9833,0.2431,true
8015,豊田通商,2026-02-18,2026-02-20,1,true,6672.5022,6724.9714,6614.0930,6667.5522,1700200,2026-03-04,8,7,true,true,-2.3347,0.0742,0.0179,0.7149,0.4821,true
8015,豊田通商,2026-02-18,2026-02-24,2,false,6927.9181,6927.9181,6664.5819,6899.2085,2088300,2026-03-02,6,4,true,true,3.4744,0.4144,0.1032,0.8751,0.8910,true
8015,豊田通商,2026-02-18,2026-02-26,4,false,7157.5949,7171.4547,6930.8883,6946.7280,2175700,2026-02-27,5,1,false,false,-1.0854,2.9461,0.7841,0.9297,0.0658,true
8015,豊田通商,2026-02-18,2026-02-27,5,false,6945.7381,6946.7281,6840.7997,6918.0186,3394700,2026-03-02,6,1,false,false,-0.4133,0.3991,0.1074,1.4220,0.7290,true
8015,豊田通商,2026-02-18,2026-03-03,7,false,6977.4176,7063.5464,6742.7911,6754.6709,3289800,2026-03-04,8,1,false,false,-1.7991,3.1924,0.8740,1.3296,0.0370,true
8015,豊田通商,2026-02-18,2026-03-04,8,false,6367.5865,6493.3147,6237.8984,6290.3677,3386800,,,,false,false,-6.8738,1.2127,0.2786,1.3419,0.2054,true
8306,三菱UFJ,2026-02-18,2026-02-20,1,true,2923.5314,2924.0220,2871.0364,2886.7358,35869200,2026-02-24,2,1,false,false,-2.2267,1.2586,0.3883,0.7721,0.2963,true
8306,三菱UFJ,2026-02-18,2026-02-24,2,false,2852.8839,2857.7900,2826.8817,2833.7502,40737100,2026-02-25,3,1,false,false,-1.8355,0.6707,0.2097,0.8915,0.2222,true
8306,三菱UFJ,2026-02-18,2026-02-25,3,false,2833.7503,2834.7315,2756.2343,2777.8210,51226600,,,,false,false,-1.9737,1.9737,0.6417,1.1159,0.2750,true
8316,三井住友FG,2026-02-18,2026-02-20,1,true,5953.9678,5956.9226,5849.5641,5873.2026,12452200,2026-02-24,2,1,false,false,-2.7084,1.3565,0.3889,0.8751,0.2202,true
8316,三井住友FG,2026-02-18,2026-02-24,2,false,5791.4524,5801.3018,5698.8679,5720.5366,14246200,2026-02-25,3,1,false,false,-2.5994,1.2245,0.3523,1.0117,0.2115,true
8316,三井住友FG,2026-02-18,2026-02-25,3,false,5702.8078,5711.6723,5558.0215,5613.1782,15830900,,,,false,false,-1.8767,1.5717,0.4621,1.1127,0.3590,true
1802,大林組,2026-02-19,2026-03-03,6,true,4221.5048,4228.4205,4079.2402,4098.0112,3603700,2026-03-04,7,1,false,false,-3.6245,2.9253,0.8642,0.9914,0.1258,true
1802,大林組,2026-02-19,2026-03-04,7,false,4050.5896,4063.4330,3891.5299,3941.9153,4730600,2026-03-06,9,2,true,false,-3.8091,2.6829,0.7712,1.2651,0.2931,true
1802,大林組,2026-02-19,2026-03-05,8,false,4120.7342,4173.0954,3998.2285,4044.6621,4678400,2026-03-06,9,1,false,false,2.6065,1.8461,0.5042,1.2167,0.2655,true
1802,大林組,2026-02-19,2026-03-06,9,false,3959.6985,3991.3128,3884.6144,3945.8672,3396300,2026-03-09,10,1,false,false,-2.4426,0.3493,0.0936,0.8719,0.5741,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,2026-02-20,0,true,3217.1646,3218.1601,3160.4263,3190.2886,382648,2026-03-04,7,7,true,true,-1.3239,0.8354,0.2532,0.6521,0.5172,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,2026-02-26,3,false,3465.0216,3467.0124,3294.8065,3372.4485,458698,2026-02-27,4,1,false,false,-0.6743,2.6716,0.9017,0.7533,0.4509,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,2026-03-03,6,false,3306.7516,3345.5726,3190.2887,3208.2061,905894,2026-03-04,7,1,false,false,-3.2132,2.9801,1.0214,1.4120,0.1154,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,2026-03-04,7,false,3070.8395,3199.2474,2980.2572,3037.9910,1230292,,,,false,false,-5.3056,1.0697,0.3033,1.8485,0.2636,true
6594,ニデック,2026-02-19,2026-02-20,0,true,2335.0000,2337.0000,2300.0000,2300.0000,2726300,2026-02-24,1,1,false,false,-2.0860,1.4989,0.4813,0.4290,0.0000,true
