# 注記: reference_high の決め方だけを 5 案で比較した検証であり、収益バックテストではない。 WARNING 開始条件は VARIANT A、warning_low 割れ後は CLOSE_BREAK（仮想EXITは翌営業日始値）に固定した研究上の基準であって、いずれも正式ルールではない。 ENTRY ロジック / max_position_in_range=0.65 / initial_stop = range_lower*0.995 / warning_low の定義 / 押し安値の取り方 / trail = 押し安値*0.995 / STOP を下げないこと は5 案で完全に同一。新しい%閾値は追加していない。 ここに載る日は「終値で warning_low 割れ」と「high > reference_high」が同じ日に成立した日で、日足では先後を決められない。 ambiguous_resolved_as はこの実行でどちらを先に採ったかを示すだけで、正しい順序という主張ではない（比較側で逆順も走らせている）。 ambiguous_open_above_reference は参考情報で、順序の判定には使っていない。
code,name,signal_date,rh_rule,rh_rule_label,warning_date,warning_day_offset,warning_low,reference_high,close_break_date,close_break_close,rehigh_date,rehigh_high,ambiguous_open_above_reference,ambiguous_resolved_as,this_run_exit_type,this_run_exit_date,this_run_return_pct
6770,アルプスアルパイン,2026-02-12,HOLDING_HIGH,RH-A 保有中最高値,2026-02-25,7,2309.8412,2353.7020,2026-02-26,2306.3914,2026-02-26,2361.0942,false,rehigh,TRAIL_STOP_EXIT,2026-02-27,6.8386
6770,アルプスアルパイン,2026-02-16,HOLDING_HIGH,RH-A 保有中最高値,2026-02-25,5,2309.8412,2353.7020,2026-02-26,2306.3914,2026-02-26,2361.0942,false,rehigh,TRAIL_STOP_EXIT,2026-02-27,5.9361
7012,川崎重工,2026-02-26,HOLDING_HIGH,RH-A 保有中最高値,2026-03-02,1,3582.2242,3729.2892,2026-03-03,3435.1592,2026-03-03,3742.2070,true,rehigh,TRAIL_STOP_EXIT,2026-03-04,-5.3288
6770,アルプスアルパイン,2026-02-12,WARNING_HIGH,RH-B 警戒足高値,2026-02-25,7,2309.8412,2353.7020,2026-02-26,2306.3914,2026-02-26,2361.0942,false,rehigh,TRAIL_STOP_EXIT,2026-02-27,6.8386
6770,アルプスアルパイン,2026-02-16,WARNING_HIGH,RH-B 警戒足高値,2026-02-25,5,2309.8412,2353.7020,2026-02-26,2306.3914,2026-02-26,2361.0942,false,rehigh,TRAIL_STOP_EXIT,2026-02-27,5.9361
7012,川崎重工,2026-02-26,WARNING_HIGH,RH-B 警戒足高値,2026-03-02,1,3582.2242,3729.2892,2026-03-03,3435.1592,2026-03-03,3742.2070,true,rehigh,TRAIL_STOP_EXIT,2026-03-04,-5.3288
6770,アルプスアルパイン,2026-02-12,PRE_WARNING_CLOSE_HIGH,RH-C 前日までの終値高値,2026-02-25,7,2309.8412,2321.6687,2026-02-26,2306.3914,2026-02-26,2361.0942,true,rehigh,TRAIL_STOP_EXIT,2026-02-27,6.8386
6770,アルプスアルパイン,2026-02-16,PRE_WARNING_CLOSE_HIGH,RH-C 前日までの終値高値,2026-02-25,5,2309.8412,2321.6687,2026-02-26,2306.3914,2026-02-26,2361.0942,true,rehigh,TRAIL_STOP_EXIT,2026-02-27,5.9361
7012,川崎重工,2026-02-26,PRE_WARNING_CLOSE_HIGH,RH-C 前日までの終値高値,2026-03-02,1,3582.2242,3627.9336,2026-03-03,3435.1592,2026-03-03,3742.2070,true,rehigh,TRAIL_STOP_EXIT,2026-03-04,-5.3288
6361,荏原,2026-04-20,PRE_WARNING_CLOSE_HIGH,RH-C 前日までの終値高値,2026-04-28,5,5393.3627,5442.1040,2026-04-30,5298.8643,2026-04-30,5508.7498,true,rehigh,TRAIL_STOP_EXIT,2026-05-01,1.0137
