# §9 V1 なら降りるが V2/V3 は保有を続けたケース。 max_gain_after_break_pct は日中割れの翌日以降に付けた最大含み益で、そこで降りられたという意味ではない（人間がチャートで見るための材料）。
code,name,signal_date,rule,warning_date,warning_low,intraday_break_date,intraday_break_low,intraday_break_close,close_recovered,never_closed_below,v1_exit_date,v1_return_pct,rule_exit_date,rule_exit_type,rule_return_pct,diff_pt,rehigh_after_break,stop_raised_after_break,max_gain_after_break_pct,max_gain_after_break_date,reached_new_high
6361,荏原,2026-04-20,STRUCTURAL_BREAK,2026-04-28,5393.3627,2026-04-30,5244.1548,5298.8643,false,false,2026-05-01,2.8885,2026-05-07,STRUCTURAL_BREAK_EXIT,10.5719,7.6834,false,false,16.9459,2026-05-12,true
8015,豊田通商,2026-02-18,STRUCTURAL_BREAK,2026-02-26,6930.8883,2026-02-27,6840.7997,6918.0186,false,false,2026-03-02,-0.9254,2026-03-03,STRUCTURAL_BREAK_EXIT,3.5253,4.4506,false,false,4.8032,2026-03-03,false
2644,GX 半導体関連-日本株式 ETF,2026-02-18,CLOSE_BREAK,2026-02-26,3419.6733,2026-02-27,3381.7987,3455.5544,true,false,2026-03-02,0.2678,2026-03-03,WARNING_LOW_CLOSE_BREAK_EXIT,1.6364,1.3686,false,false,2.5588,2026-03-03,false
6770,アルプスアルパイン,2026-02-12,CLOSE_BREAK,2026-02-25,2309.8412,2026-02-26,2300.4775,2306.3914,false,false,2026-02-27,6.8386,2026-02-27,TRAIL_STOP_EXIT,6.8386,0.0000,false,false,8.2662,2026-02-27,false
6770,アルプスアルパイン,2026-02-16,CLOSE_BREAK,2026-02-25,2309.8412,2026-02-26,2300.4775,2306.3914,false,false,2026-02-27,5.9361,2026-02-27,TRAIL_STOP_EXIT,5.9361,0.0000,false,false,7.3516,2026-02-27,false
6770,アルプスアルパイン,2026-02-12,STRUCTURAL_BREAK,2026-02-25,2309.8412,2026-02-26,2300.4775,2306.3914,false,false,2026-02-27,6.8386,2026-02-27,TRAIL_STOP_EXIT,6.8386,0.0000,false,false,8.2662,2026-02-27,false
6770,アルプスアルパイン,2026-02-16,STRUCTURAL_BREAK,2026-02-25,2309.8412,2026-02-26,2300.4775,2306.3914,false,false,2026-02-27,5.9361,2026-02-27,TRAIL_STOP_EXIT,5.9361,0.0000,false,false,7.3516,2026-02-27,false
8058,三菱商事,2026-02-19,CLOSE_BREAK,2026-02-26,5106.7841,2026-02-27,5056.2713,5239.5054,true,true,2026-03-02,2.9335,2026-03-04,TRAIL_STOP_EXIT,1.9289,-1.0046,false,false,12.0956,2026-03-03,true
8058,三菱商事,2026-02-19,STRUCTURAL_BREAK,2026-02-26,5106.7841,2026-02-27,5056.2713,5239.5054,true,true,2026-03-02,2.9335,2026-03-04,TRAIL_STOP_EXIT,1.9289,-1.0046,false,false,12.0956,2026-03-03,true
8306,三菱UFJ,2026-06-12,CLOSE_BREAK,2026-06-19,3258.0000,2026-06-22,3239.0000,3333.0000,true,false,2026-06-23,3.2498,2026-06-25,WARNING_LOW_CLOSE_BREAK_EXIT,1.3618,-1.8880,false,false,18.0130,2026-07-27,true
8306,三菱UFJ,2026-06-12,STRUCTURAL_BREAK,2026-06-19,3258.0000,2026-06-22,3239.0000,3333.0000,true,false,2026-06-23,3.2498,2026-06-25,STRUCTURAL_BREAK_EXIT,1.3618,-1.8880,false,false,18.0130,2026-07-27,true
9104,商船三井,2026-03-25,CLOSE_BREAK,2026-03-31,6496.0000,2026-04-01,6200.0000,6498.0000,true,true,2026-04-02,1.7399,2026-04-13,WARNING_LOW_CLOSE_BREAK_EXIT,-2.5623,-4.3022,true,false,4.2133,2026-04-07,true
9104,商船三井,2026-03-25,STRUCTURAL_BREAK,2026-03-31,6496.0000,2026-04-01,6200.0000,6498.0000,true,true,2026-04-02,1.7399,2026-04-13,STRUCTURAL_BREAK_EXIT,-2.5623,-4.3022,true,false,4.2133,2026-04-07,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,CLOSE_BREAK,2026-02-26,3294.8065,2026-02-27,3262.9534,3321.6826,true,false,2026-03-02,-0.0309,2026-03-04,WARNING_LOW_CLOSE_BREAK_EXIT,-4.5483,-4.5173,false,false,3.9913,2026-03-03,false
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,STRUCTURAL_BREAK,2026-02-26,3294.8065,2026-02-27,3262.9534,3321.6826,true,false,2026-03-02,-0.0309,2026-03-04,STRUCTURAL_BREAK_EXIT,-4.5483,-4.5173,false,false,3.9913,2026-03-03,false
2644,GX 半導体関連-日本株式 ETF,2026-02-18,STRUCTURAL_BREAK,2026-02-26,3419.6733,2026-02-27,3381.7987,3455.5544,true,false,2026-03-02,0.2678,2026-03-04,STRUCTURAL_BREAK_EXIT,-4.4630,-4.7307,false,false,2.5588,2026-03-03,false
7182,ゆうちょ銀行,2026-06-09,CLOSE_BREAK,2026-06-19,3186.0000,2026-06-22,3183.0000,3269.0000,true,false,2026-06-23,3.2309,2026-06-25,WARNING_LOW_CLOSE_BREAK_EXIT,-3.2622,-6.4931,false,false,3.2936,2026-06-23,false
7182,ゆうちょ銀行,2026-06-09,STRUCTURAL_BREAK,2026-06-19,3186.0000,2026-06-22,3183.0000,3269.0000,true,false,2026-06-23,3.2309,2026-06-25,STRUCTURAL_BREAK_EXIT,-3.2622,-6.4931,false,false,3.2936,2026-06-23,false
