# §10 V1 なら早く撤退できたが、V2/V3 が待った結果、悪化したケース。 days_waited は V1 の EXIT からその案の EXIT までの営業日数。
code,name,signal_date,rule,warning_date,warning_low,original_range_upper,v1_exit_date,v1_return_pct,rule_exit_date,rule_exit_type,rule_return_pct,diff_pt,days_waited,rule_max_gain_pct,rule_giveback_pct,back_inside_range,hit_initial_stop,gap_pct_at_exit
7182,ゆうちょ銀行,2026-06-09,CLOSE_BREAK,2026-06-19,3186.0000,3277.0000,2026-06-23,3.2309,2026-06-25,WARNING_LOW_CLOSE_BREAK_EXIT,-3.2622,-6.4931,2,3.7641,7.0263,true,false,-0.5482
7182,ゆうちょ銀行,2026-06-09,STRUCTURAL_BREAK,2026-06-19,3186.0000,3277.0000,2026-06-23,3.2309,2026-06-25,STRUCTURAL_BREAK_EXIT,-3.2622,-6.4931,2,3.7641,7.0263,true,false,-0.5482
2644,GX 半導体関連-日本株式 ETF,2026-02-18,STRUCTURAL_BREAK,2026-02-26,3419.6733,3354.8879,2026-03-02,0.2678,2026-03-04,STRUCTURAL_BREAK_EXIT,-4.4630,-4.7307,2,6.4862,10.9491,true,false,-4.1779
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,CLOSE_BREAK,2026-02-26,3294.8065,3304.7606,2026-03-02,-0.0309,2026-03-04,WARNING_LOW_CLOSE_BREAK_EXIT,-4.5483,-4.5173,2,7.7661,12.3144,true,false,-4.2817
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,STRUCTURAL_BREAK,2026-02-26,3294.8065,3304.7606,2026-03-02,-0.0309,2026-03-04,STRUCTURAL_BREAK_EXIT,-4.5483,-4.5173,2,7.7661,12.3144,true,false,-4.2817
9104,商船三井,2026-03-25,CLOSE_BREAK,2026-03-31,6496.0000,6724.0462,2026-04-02,1.7399,2026-04-13,WARNING_LOW_CLOSE_BREAK_EXIT,-2.5623,-4.3022,7,4.2133,6.7757,false,false,0.4171
9104,商船三井,2026-03-25,STRUCTURAL_BREAK,2026-03-31,6496.0000,6724.0462,2026-04-02,1.7399,2026-04-13,STRUCTURAL_BREAK_EXIT,-2.5623,-4.3022,7,4.2133,6.7757,false,false,0.4171
8306,三菱UFJ,2026-06-12,CLOSE_BREAK,2026-06-19,3258.0000,3305.0000,2026-06-23,3.2498,2026-06-25,WARNING_LOW_CLOSE_BREAK_EXIT,1.3618,-1.8880,2,5.0449,3.6831,true,false,2.1841
8306,三菱UFJ,2026-06-12,STRUCTURAL_BREAK,2026-06-19,3258.0000,3305.0000,2026-06-23,3.2498,2026-06-25,STRUCTURAL_BREAK_EXIT,1.3618,-1.8880,2,5.0449,3.6831,true,false,2.1841
8058,三菱商事,2026-02-19,CLOSE_BREAK,2026-02-26,5106.7841,5063.2041,2026-03-02,2.9335,2026-03-04,TRAIL_STOP_EXIT,1.9289,-1.0046,2,12.0956,10.1668,false,false,
8058,三菱商事,2026-02-19,STRUCTURAL_BREAK,2026-02-26,5106.7841,5063.2041,2026-03-02,2.9335,2026-03-04,TRAIL_STOP_EXIT,1.9289,-1.0046,2,12.0956,10.1668,false,false,
