# §9 警戒開始を遅らせた副作用。A の CASE2 より B/C の CASE2 が悪化した件。 never_warned=true は「WARNING が一度も出ないまま終わった」件。
code,name,signal_date,variant,breakout_date,uptrend_confirmed_date,other_warning_date,a_warning_date,a_case2_return_pct,variant_case2_return_pct,diff_pt,variant_case3_return_pct,variant_max_gain_pct,variant_giveback_pct,variant_exit_type,back_to_initial_stop,never_warned
8015,豊田通商,2026-02-18,C,2026-02-25,,,2026-02-26,2.8349,-5.5229,-8.3578,-5.5229,6.4042,11.9271,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,B,2026-02-25,2026-02-26,2026-03-03,2026-02-26,2.1040,-4.5483,-6.6522,-4.5483,7.7661,12.3144,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,false
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,C,2026-02-25,,,2026-02-26,2.1040,-4.5483,-6.6522,-4.5483,7.7661,12.3144,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
464A,QPSホールディングス,2026-04-17,C,2026-04-21,,,2026-04-22,-0.8598,-7.1581,-6.2983,-7.1581,4.4112,11.5693,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
464A,QPSホールディングス,2026-04-17,B,2026-04-21,2026-04-22,2026-04-23,2026-04-22,-0.8598,-6.5047,-5.6449,-7.1581,4.4112,11.5693,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,false
7182,ゆうちょ銀行,2026-06-09,B,2026-06-18,,,2026-06-19,-0.0627,-4.8383,-4.7756,-4.8383,3.7641,8.6024,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
7182,ゆうちょ銀行,2026-06-09,C,2026-06-18,,,2026-06-19,-0.0627,-4.8383,-4.7756,-4.8383,3.7641,8.6024,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
8015,豊田通商,2026-02-18,B,2026-02-25,2026-02-26,2026-02-27,2026-02-26,2.8349,-0.9254,-3.7603,-5.5229,6.4042,11.9271,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,false
8316,三井住友FG,2026-02-18,B,2026-02-19,,,2026-02-20,-1.6393,-4.8608,-3.2215,-4.8608,2.5259,7.3868,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
8316,三井住友FG,2026-02-18,C,2026-02-19,,,2026-02-20,-1.6393,-4.8608,-3.2215,-4.8608,2.5259,7.3868,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
8306,三菱UFJ,2026-02-18,B,2026-02-19,,,2026-02-20,-1.8068,-3.3395,-1.5327,-3.3395,1.6211,4.9606,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
8306,三菱UFJ,2026-02-18,C,2026-02-19,,,2026-02-20,-1.8068,-3.3395,-1.5327,-3.3395,1.6211,4.9606,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
8308,りそなHD,2026-06-12,B,2026-06-15,,,2026-06-16,-4.6143,-5.9465,-1.3322,-5.9465,3.0310,8.9775,INITIAL_STOP_EXIT_AFTER_BREAKOUT,true,true
